id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
192893,"Beat, The",https://thebeatofficial.com/,"Beat, The",,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192894,Basement Jaxx,https://www.basementjaxx.com/,Basement Jaxx,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192895,Blur,https://www.blur.co.uk/,Blur,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192898,Hawkwind,http://www.hawkwind.com/,Hawkwind,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193008,"Specials, The",https://www.thespecials.com/,"Specials, The",,,website,14/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193125,Madness,https://www.madness.co.uk/,Madness,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193133,ONSIND,https://onsind.bandcamp.com/,ONSIND,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193136,Carbon/Silicon,https://www.carbonsilicon.com/,Carbon/Silicon,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193137,Jon Anderson,http://jonanderson.com/,Jon Anderson,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193139,Kaiser Chiefs,http://kaiserchiefs.com/,Kaiser Chiefs,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193140,Aphex Twin,https://aphextwin.warp.net/,Aphex Twin,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193141,Jimmy Page,https://www.jimmypage.com/,Jimmy Page,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193142,Luke Haines,http://lukehaines.co.uk/,Luke Haines,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193143,Monochrome Set,http://www.themonochromeset.co.uk/,Monochrome Set,,,website,15/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193500,Glenn Tilbrook,https://www.glenntilbrook.com/,Glenn Tilbrook,,,website,04/10/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193502,Hugh Cornwall,http://www.hughcornwell.com/,Hugh Cornwall,,,website,04/10/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193592,Bryan Ferry,https://bryanferry.com/,Bryan Ferry,,,website,04/10/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193594,Stiff Little Fingers,https://slf.rocks/,Stiff Little Fingers,,,website,04/10/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
193596,Therapy?,https://therapyquestionmark.co.uk/,Therapy?,,,website,04/10/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
